76;D0036983;;SB-FBP036;SB-FBP-VEC02;SB-FBP036;;VPMS Encoder 02;;;;;;;;;;;;;;;;;;;;;;24;441;2;;FBP.ESW.B3;3;;18;;;;;;;;;;;;;;
77;D0037123;172.16.223.60;SB-FBP101;SB-FBP-EXA01;SB-FBP101;;EVS XTAccess 01;https://SB-FBP101-ILO.rbb-online.de;;;;;;;;;;;;;;?;TPS_FBP;Echtzeitsuche;;EVS XTAccess;B;;24;441;1;Ausfallsicherheit;FBP.ESW.B4;3;;19;;;;;;;;;;;;;;
78;D0037124;;SB-FBP101;SB-FBP-EXA01;SB-FBP101;;EVS XTAccess 01;;;;;;;;;;;;;;;;;;;;;;24;441;2;;FBP.ESW.B3;3;;19;;;;;;;;;;;;;;
79;D0037125;172.16.226.101;SB-FBP101;SB-FBP-EXA01;SB-FBP101;;EVS XTAccess 01;;;;;;;;;;;;;;;;;;;;;;24;444;5;;FBP.ISISB2;1;;4;;;;;;;;;;;;;;
80;D0037126;172.16.227.101;SB-FBP101;SB-FBP-EXA01;SB-FBP101;;EVS XTAccess 01;;;;;;;;;;;;;;;;;;;;;;24;445;6;;FBP.ISISB2;2;;4;;;;;;;;;;;;;;
81;D0036958;172.16.223.61;SB-FBP102;SB-FBP-EXA02;SB-FBP102;;EVS XTAccess 02;https://SB-FBP102-ILO.rbb-online.de;;;;;;;;;;;;;;16.12.2016;TPS_FBP;Echtzeitsuche;07.12.2016;EVS XTAccess;B;;24;441;1;Ausfallsicherheit;FBP.ESW.B4;4;;19;;;;;;;;;;;;;;
82;D0036959;;SB-FBP102;SB-FBP-EXA02;SB-FBP102;;EVS XTAccess 02;;;;;;;;;;;;;;;;;;;;;;24;441;2;;FBP.ESW.B3;4;;19;;;;;;;;;;;;;;
83;D0036960;172.16.226.102;SB-FBP102;SB-FBP-EXA02;SB-FBP102;;EVS XTAccess 02;;;;;;;;;;;;;;;;;;;;;;24;444;5;;FBP.ISISB1;1;;5;;;;;;;;;;;;;;
84;D0036961;172.16.227.102;SB-FBP102;SB-FBP-EXA02;SB-FBP102;;EVS XTAccess 02;;;;;;;;;;;;;;;;;;;;;;24;445;6;;FBP.ISISB1;2;;5;;;;;;;;;;;;;;
85;D0037127;172.16.223.62;SB-FBP103;SB-FBP-EXA03;SB-FBP103;;EVS XTAccess 03;https://SB-FBP103-ILO.rbb-online.de;;;;;;;;;;;;;;16.12.2016;TPS_FBP;Echtzeitsuche;;EVS XTAccess;B;;24;441;1;Ausfallsicherheit;FBP.ESW.B4;3;;20;;;;;;;;;;;;;;
86;D0037128;;SB-FBP103;SB-FBP-EXA03;SB-FBP103;;EVS XTAccess 03;;;;;;;;;;;;;;;;;;;;;;24;441;2;;FBP.ESW.B3;3;;20;;;;;;;;;;;;;;
87;D0037129;172.16.226.103;SB-FBP103;SB-FBP-EXA03;SB-FBP103;;EVS XTAccess 03;;;;;;;;;;;;;;;;;;;;;;24;444;5;;FBP.ISISB4;1;;3;;;;;;;;;;;;;;
88;D0037130;172.16.227.103;SB-FBP103;SB-FBP-EXA03;SB-FBP103;;EVS XTAccess 03;;;;;;;;;;;;;;;;;;;;;;24;445;6;;FBP.ISISB4;2;;3;;;;;;;;;;;;;;
89;D0036962;172.16.223.63;SB-FBP104;SB-FBP-EXA04;SB-FBP104;;EVS XTAccess 04;https://SB-FBP104-ILO.rbb-online.de/;;;;;;;;;;;;;;16.12.2016;TPS_FBP;Echtzeitsuche;;EVS XTAccess;B;;24;441;1;Ausfallsicherheit;FBP.ESW.B4;4;;20;;;;;;;;;;;;;;
